ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
;;;"5";"A vizsgajegyzőkönyv típusának megfelelő elnevezésű blokk - amely lehet Ágazatfüggetlen gyakorlati, Kategóriás gyakorlati - ellenőrzése
";"A megnyitott oldalon megjelenik a vizsgajegyzőkönyv típusának megfelelő elnevezésű blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
- Ágazat
- Behívás típusa
- Vezénylés típusa
- Automatikusan véglegesíthető
- ""Véglegesítés"" gomb.

Az adatok csak olvashatóak, nem szerkeszthetőek.";;;
;;;"6";"A vizsgajegyzőkönyv véglegesítése a ""Véglegesítés' gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A jegyzőkönyvnél automatikus véglegesítés van beállítva 90%-tól. A manuális véglegesítés után ez a jegyzőkönyv később már nem kerülhet automatikusan véglegesítésre. Biztosan szeretné a ""G-A/23/0011/010"" jegyzőkönyvet véglegesíteni?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva véglegesítésre kerül a vizsgajegyzőkönyv és a ""Véglegesítés"" gomb helyett megjelenik a ""Véglegesítés visszavonása"" gomb.
  ";;;
;;;"7";"A vizsgajegyzőkönyv véglegesítésének visszavonása a ""Véglegesítés visszavonása"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja aműveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A vizsgajegyzőkönyvhöz tartozik vizsgabiztos, a véglegesítés visszavonásával leszedésre kerüljenek?""

A ""Nem"" gombra kattintva visszavonásra kerül a vizsgajegyzőkönyv véglegesítése a ""Véglegesítés visszavonása"" gomb helyett megjelenik a ""Véglegesítés"" gomb. A vizsgajegyzőkönyv Vizsgabiztosok fülén továbbra is a korábbi vizsgabiztosok jelennek meg.
Az ""Igen"" gombra kattintva visszavonásra kerül a vizsgajegyzőkönyv véglegesítése a ""Véglegesítés visszavonása"" gomb helyett megjelenik a ""Véglegesítés"" gomb, illetve eltűnik a Vizsgabiztosok fül.
";;;
;;;"8";"Ebédidővel kapcsolatos adatok ellenőrzése
";"A megnyitott oldalon megjelenik az Ebédidő blokk. A blokk tartalma csak akkor látható amennyiben a jobb felső sarkában található rádió gomb az ""Igen"" értéket veszi fel. Ebben az esetben az alábbi adatok találhatók, illetve adhatók meg: - Ebédidő kezdete* (-tól, -ig óraválasztó legördülő listából, vagy manuális bevitel, az ebédidő kezdetének záró ideje vagy megegyezik vagy későbbi mint a nyitó)
- Ebédidő hossza* (perc)
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.";;;
;;;"9";"Időpontfoglalási adatok ellenőrzése
";"A megnyitott oldalon megjelenik az Időpontfoglalási adatok blokk, amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben:
- Jelentkezési időszak kezdete* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Jelentkezési időszak vége* (dátum- és óraválasztóval, vagy manuális bevitellel)
- Első jelentkezhető időpont* (óraválasztóval, vagy manuális bevitellel)
- Publikálva

A Publikálva mező értéke amennyiben a vizsgajegyzőkönyv még nem került publikálásra a következő:
- Még nem került publikálásra 
Illetve ebben az esetben megjelenik a ""Publikálás"" gomb is.
Publikált vizsgajegyzőkönyv esetén megjelenik publikálás dátuma év.hónap.nap óra:perc pontossággal. Illetve ebben az esetben megjelenik a ""Jelentkezés szüneteltetése"" gomb a ""Publikálás"" gomb helyén.
 
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"10";"Vizsgajegyzőkönyv publikálása a ""Publikálás"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""A publikálással a képző szervek részére elérhetővé válik a vizsgajegyzőkönyv. Biztosan publikálásra kerüljön a jegyzőkönyv?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva megtörténik a vizsgajegyzőkönyv publikálása. Innentől képzőszervi oldalon jelentkezhetővé válik a vizsgajegyzőkönyv. Továbbá megjelenik a ""Jelentkezés szüneteltetése"" gomb. 
";;;
;;;"11";"Jelentkeztetés szüneteltetése a ""Jelentkezés szüneteltetése"" gombra kattinva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja a műveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva szüneteltetésre kerül a vizsgajegyzőkönyvre történő jelentkezés lehetősége. Innentől képzőszervi oldalon nem lehetséges a vizsgajegyzőkönyvre jelentkezni. Továbbá megjelenik a ""Jelentkezés engedélyezése"" gomb. 
";;;
;;;"12";"Jelentkezés újra engedélyezése a ""Jelentkezés engedélyezése"" gombra kattintva.";"A gombra kattintva a következő figyelmeztető üzenet jelenik meg:
""Biztosan végrehajtja a műveletet?""

A ""Nem"" gombra kattintva tovább folytatható a vizsgajegyzőkönyv szerkesztése
Az ""Igen"" gombra kattintva megtörténik a vizsgajegyzőkönyv jelentkezhetőségének újra engedélyezése. Innentől képzőszervi oldalon újra jelentkezhetővé válik a vizsgajegyzőkönyv. Továbbá megjelenik a ""Jelentkezés szüneteltetése"" gomb. 
";;;
;;;"13";"Kategóriák és Vizsgafajták ellenőrzése
";"A megnyitott oldalon megjelenik az Kategóriák és Vizsgafajták blokk amelyben megjelennek az adott vizsgajegyzőkönyv létrehozásakor megadott adatok a megfelelő helyen és minőségben.
A blokkban megjelennek a vizsgahelyhez rögzített lehetséges kategóriák és vizsgajták mátrixa. A kategóriák betűjele az oszlopokfejlécekben a vizsgafajták betűjelei a sorfejlécekben jelennek meg. A cellákban ahol értelmezhető checkboxok találhatóak, melyek ki-be kattintásával választhatók ki a vizsgajegyzőkönyvhöz rendelendő kategóriák és a hozzájuk tartozó vizsgafajták. A vizsgajegyzőkönyv mentéséhez legalább egy kategória - vizsgafajta páros kiválasztása szükséges.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"14";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a Mentés gomb megnyomása.
";"A mentés gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet. A rendszer a Gyakorlati vizsgajegyzőkönyv szerkesztése (Ugyintezo/GyakorlatiVizsgajegyzokonyv/Edit/400231?mod=True#!EditTabAlapadatok) oldalra navigál. A megjelenő űrlap tartalmazza a korábban megadott adatokat megfelelő helyen és minőségben. ";;;
;;;"15";"Vizsgázók fül adatainak ellenőrzése a Vizsgázók fülre kattintva.";"Az oldalon a felső blokkban megjelenik a szűrő, alatta pedig a szűrési feltételeknek megfelelő találati lista. 
Az alábbi mezők biztosítják a szűrési feltételek megadását:
- Név
- Tanuló azonosító

A szűrést vezérlő navigációs elemek:
-Szűrő feltételek törlése
-Szűrés
";;;
;;;"16";"Szűrőfeltételek megadása (minden mező), majd a szűrőfeltételek törlése gombra kattintás
";"A kitöltött adatokat az oldal újratöltése nélkül törli minden mezőből, és a szűrési űrlap alapállapotra áll vissza. 
";;;
;;;"17";"Szűrés gomb megnyomása szűrési szűrő feltételek megadása nélkül.
";"A rendszer a találati listában megjeleníti az összes, a vizsgajegyzőkönyvre jelentkezett vizsgáző. Az vizsgázók az alábbi adatokkal rendelkeznek:
- Képzés
- Vizsgák
";;;
;;;"18";"Vezénylési csoport fül adatainak ellenőrzése a Vezénylési csoport fülre kattintva.
";"Amennyiben a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz az alábbi üzenet jelenik meg a blokkban:
""Ez a vizsgajegyzőkönyv nem került hozzáadásra vezénylési csoporthoz.""";;;
;;;"19";"Vizsgabiztos fül adatainak ellenőrzése a Vizsgabiztos fülre kattintva.
";"Az oldalon megjelennek a Vizsgajegyzőkönyvhöz vezényelt vizsgabiztosok információi az alábbi adatokkal:
- Név
- Vezényelve
- Visszavonva
- Típus";;;
;;;"20";"Vizsgaösszesítő fül adatainak ellenőrzése a Vizsgaösszesítő fülre kattintva.";"Az oldalon megjelennek a vizsgajegyzőkönyvben megvalósuló vizsgák információi az alábbi, üzenettel és adatokkal:
""A 0 Ft-os vizsgák a díjmentes vizsgákat jelölik.""
- Kategória
- Képzés
- Vizsga
- Vizsgafajta
- Segédlet szükséges
- Vizsgaszám
- Vizsgadíj
- Vizsgaárak

Az oldal alján megjelenik az ""Excel export"" gomb.
";;;
;;;"21";"A Vizsgaösszesítő fül adatainak exportálása az ""Excel export"" gombra kattintva.";"A rendszer az Ugyintezo/GyakorlatiVizsgajegyzokonyv/Edit/400231?mod=True#!EditTabVizsgaosszesito oldalon maradva generál egy excel fájlt, amelyben hiánytalanul megtalálhatóak a felületen található adatok. Ez a fájl a számítógép letöltött anyagai között megtalálható.
";;;
;;;"22";"Módosítás fül adatainak ellenőrzése a Módosítás fülre kattintva.
";"Az oldalon megjelennek a vizsgajegyzőkönyvben eszközölt módosítások listája az alábbi adatokkal:
- Dátum
- Típus
- Módosító

Az adott módosítás részletei megtekinthetőek a sor jobb szélén található ""Részletek"" ikonra kattintva
";;;
"125461";"Test Case";"Elméleti vizsgajelentő kezelése";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Lengyel Zoltán (Multicontact) <RCINET\LengyelZ>";"Design"
"116050";"Shared Steps";;"1";"Login (KAV ügyintéző)";;;;
;;;"1_1";"A https://tesztkatvizs.pallasz.hu/Ugyintezo/ oldal megnyitása.
";"A bejelentkezési oldal megjelenik (Központi bejelentkezés). 
Az oldalon a bejelentkezési űrlapon megadható a felhasználónév és a jelszó. 

";;;
;;;"1_2";"Felhasználónév és jelszó megadása (KAV ügyintézőt a KAV vezető ügyintéző hozhat létre), majd a Bejelentkezés gomb megnyomása. 
";"A felhasználónév és jelszó megadását követően a Bejelentkezés gomb aktív lesz, kattintható. 
";;;
;;;"1_3";"Bejelentkezési folyamatot követően megjelenő oldal ellenőrzése.
";"Helyes adatok megadása esetén a rendszer a felhasználót belépteti, amennyiben a felhasználó több kirendeltséggel rendelkezik, akkor A Válasszon kirendeltség olvasható az oldalon, és felsorolásra kerül az összes, érvényes jogviszonnyal érintett kirendeltség.  A kirendeltségek azonosítószáma és neve látható a kijelzett listán. A kirendeltségek kattintással kiválaszthatók.";;;
;;;"1_4";"Megfelelő kirendeltség kiválasztása kattintással. 
";"A rendszer az ügyintézői felületre navigál, ahol a beállított jogosultságoknak megfelelő funkciók érhetők el az oldalon. 
";;;
;;;"2";"A menüben a Vizsgaszervezés / Elméleti vizsgajelentő menüpontot kell választani. A menüpont elérhető a főoldalon megjelenő hivatkozás is választható.
";"A rendszer betölti az Elméleti vizsgajelentő kezelése oldalt. Az oldalon megjelenik a Szűrő, amelyen az alábbi adatokra lehet szűrni:
-Azonosító
-Vizsga igényelt napja
-Képző szerv
-Vizsgajelentő típusa
-Vizsgahelyszín

A szűrő feltételek törlése gomb megnyomására a szűrő visszaáll az alapállapotra (üres). A Szűrő gomb megnyomásával a feltételeknek megfelelő találati lista megjelenik az oldal alsó blokkjában. A lista az alábbi adatokat tartalmazza: 
-Azonosító
-Képző szerv
-Igényelt nap
-Típus
-Helyszín
-Vizsgadíj
-Beküldés időpontja
-Vizsgázók
";;;
;;;"3";"A találati listában egy adott tétel kiválasztása a Részletek gombra kattintva (négy vízszintes vonal)
";"A rendszer betölti az Elméleti vizsgajelentő részletei oldalt. Az oldalon megjelenik az Alapadatok, Vizsgázók és a Vizsgaösszesítő fül. 
";;;
;;;"4";"Alapadatok fül tartalma
";"A rendszer betölti a a Fejadatok blokkot, amelyben az alábbi adatok szerepelnek:
-Azonosító
-Képző szerv
-Vizsga igényelt napja
-Vizsgajelentő típus
-Beküldés időpontja
-Vizsgahelyszín
-Speciális vizsga
Az adatok nem szerkeszthetők, és az adott tételre vonatkoznak. 
";;;
;;;"5";"Vizsgázók fül
";"A rendszer átvált a Vizsgázók oldalra. Megjelenik a szűrő, amelyben az alábbi adatokra lehet szűrni:
-Név
-Tanuló azonosító
-Vizsgajegyzőkönyvre került
 A mezők kitölthetők. A szűrő feltételek törlése gomb megnyomására a szűrő visszaáll az 
alapállapotra (üres). A Szűrő gomb megnyomásával a feltételeknek 
megfelelő találati lista megjelenik az oldal alsó blokkjában.";;;
;;;"6";"Vizsgaösszesítő fül 
";"A rendszer betölti az elméleti vizsgajelentőhöz rendelet vizsgák listáját az alábbi adatokkal:
-Kategória
-Képzés
-Vizsga
-Vizsgafajta
-Segédlet szükséges
-Vizsgaszám
-Vizsgadíj
-Vizsgák ára
";;;
;;;"7";"
";"
";;;
"125462";"Test Case";"Elméleti vizsgajelentkezés";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115088";"Shared Steps";;"1";"Login (képző szerv)";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"1_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"1_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"1_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Vizsgaszervezés / Elméleti vizsga jelentkezés adatlap menüpont kiválasztása a főmenüből.
";"Megnyílik az Iskola/ElmeletiVizsgajelentkezes oldal (Elméleti vizsgajelentkezés).
Az oldalon megjelennek az elméleti vizsaga jelentkezés rögzítésének folyamatlépései, az éppen aktuális lépéssel kiemelve:
- Típus kiválasztása
- Tanulók kiválasztása
- Vizsgák kiválasztása
- Időpont kiválasztás

Az oldal alján megjelenik a ""Tovább"" gomb amely aktív és kattintható.
";;;
;;;"3";"Típus kiválasztása.";"A megnyitott oldalon megjelenik a Típus kiválasztása blokk amelyben megadhatók az alábbi adatok:
- Vizsga típus*

A legördülőlista értékkészlete az alábbiakból áll össze:
- Esettanulmány
- Írásbeli vizsga
- Számítógépes elméleti vizsga
- Szóbeli vizsga

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"4";"A hiánytalanul kitöltött adatlap mentése (minimum a kötelező mezők ki vannak töltve). Az oldal alján a ""Tovább"" gomb megnyomása.
";"A kattintást követően hiba nélkül tovább léptet a rendszer a folyamat következő lépésére. Az oldalon a fenti folyamat jelző linkjeinek a segítségével visszaléphetünk a korábbi lépésre, ahol megjelennek a korábban megadott adatok megfelelő helyen és minőségben, a mezők tartalma szerkeszthető.
";;;
